document_id clean_text  ,,,sentiment
Delusional and misleading,"If Pogba put quarter of the effort he puts into advertising himself as a decent footballer, he'd probably be a decent footballer. Paints himself as an icon or a ""legend"" when he has achieved nothing on his own in is career with all his assumed glory being a product of other people's hard work. Felt like watching a documentary for one of the substitutes in Maradona's 1986 Argentina team celebrating himself as a World Cup champion. Cringe-worthy.",,Negative
Pogba likes Pogba.,"A Series about : How Paul Pogba thinks about Paul Pogba.

Wasted Talent, stupid Haircuts. Overhyped, Overrated, overpriced and toooooo much overpaid.

Suggested name for the Series "" A child that doesn't want to be a man""",,Neutral
Terrible,,,Neutral
Self entitled,Self entitled megalomaniac with delusions of grandeur and a very average footballer. Cares more about his different hairstyles than his actual work on the pitch.,,Negative
The Virus,"Mourinho said it , ""Pogba is a virus not a team player "" , Overrated Player with Overprice , maybe can be model or hairstyle something like that, but he is not team player, I don't know who think about this series but it's really bad and ugly idea.",,Negative
Deluded,"Nothing to say just glad he's finally left Manchester United. Goodbye to your laziness, unprofessionalism, rudeness, abusive behavior. Juventus he's your problem now. And please don't ever come back to Manchester United.",,Negative
This is the only thing worse than his United career,When Paul Pogba looks back and realises Tom Cleverley had a better united career than him he might realise he was the problem. This documentary is the only thing worse than his man United career.,,Negative
Just An Overrated Football Player Desperately Holding On To Any Relevancy And Looks Like a Deluded Man,Absolutely rubbish documentary. Dont see any point in making it. Just a Deluded human being desperately trying to stay relevant. Excuses after excuses and comes across as a money minded player. Disgraceful.,,Negative
Don't waste your time!,If you value your time don't waste a second on this self-indulgent drivel. The dullest sports documentary in recent times. How Amazon signed off on this god only knows.,,Negative
Pogtard Docu,"If not for anything, I blame all have rightly rated this pogtard reel the 1 star it deserved. A zero star would have been better but alas that can't be given.",,Negative
Embarrassing,Awful beyond measure. Everyone involved should be ashamed. Displays all the things that people use to beat footballers with. Offensive on multiple levels.,,Negative
Ill advised and narcissistic.,"Paul Pogba makes Mourinho look like the good guy. Something I thought impossible.

His performances for United were consistently abject. To then leave, whining that the club wouldn't pay him even more money is, frankly, insulting. Mourinho allegedly called him a virus, and, sadly, I can see why. The very last thing anyone wants to see is a preening Paul Pogba pratting around.

Ill advised and narcissistic.",,Negative
Who thought this would be a good idea?,"If you want to sit through hours of self indulgent fantasy then this is the documentary for you. I can't imagine why this was given the green light, of all the amazing players out there people would like to see a behind the scenes show on they chose pogba? Do people really want to see new haircuts and dances every show? Or listen to pogba and that fat toad of an agent he has (had) moan about how pogba isn't being played even though every time he is he underperforms?

I'll sum this up, a behind the scenes documentary about a footballer who doesn't really play football but in his (and his agents head) he's the best footballer in the world. Can't get into the first team consistently under consecutive managers due to his laziness and poor attitude but because of his flamboyant haircuts he's been given a tv show.

If you decide to watch this have some bleach on hand to wash your eyes out afterwards.",,Negative
Pograt,,,Neutral
Worst MUFC Signing,"I'd be more entertained if he backflipped off a bridge afer eating a kilo of pork. The man was completely shxt! He gave us 10% of his talent & 90% different hairstyles during his stay at Manchester United.

Q: Did he disappoint us?

A: Does a bear shxt in the woods?

Fxck You Pogba!

Sincerely, MUFC fan!",,Negative
Worst Documentary I've actually ever seen,"He's actually a quite spiteful, and unkind person. People are fighting in a war right now yet he is crying about only being offered 300k in money on a weekly basis. Shocking.",,Negative
Most useless video from a most useless Player!,"Most useless video from a most useless Player! Waste of time, he has no perspective of what he is upto in life. Do t waste your time watching this nonsense..............................................................",,Negative
Deluded beyond repair,The actual audacity of this man to make a documentary on himself shows how clearly deluded and lost in his own world this man is. Done nothing for football and is more concerned how he looks on the pitch than he does playing. I'm glad this is the worst rating ever if I could give a zero i would. Absoulty shambolic. He is a narcissistic parasite.,,Negative
No hunger,This man had potential to be one of the greatest but was greedy with not enough hunger to succeed...Viru$ as said by Mourinho. May be His agent too had part in ruining his career.,,Negative
Awful. I'd rather watch the Luke Depper life story.,"Shocking how out of touch this guy is. Thinks he's Jesus, yet has been sub par 99% of the time. This is just a series of epsisodes aimed at a failed footballer trying to hype himself up to the levels he's miserable failed to obtain. He's nothing more than average and his documentary falls even shorter than his footballing performances. Avoid if you can.",,Negative
